index,total_on_role,mean_champ_win_rate,mean_role_win_rate,jg_on_role,mean_session_games,aggregate_session_win_rate,win,match_id
0,0,-0.10189810189810189,-0.10503459750276006,-1,3.0,-0.11111111111111105,-1.0,NA1_4035079692
0,0,-0.18325219084712757,-0.0901360482108357,0,-0.6000000000000001,-0.011363636363636354,-1.0,NA1_4035098724
0,1,-0.051554828150572884,-0.18336396546922867,0,3.2,0.3787878787878788,1.0,NA1_4035098873
0,0,0.021739130434782594,0.19999999999999996,0,0.0,0.4,1.0,NA1_4035079686
0,-1,0.12103174603174593,0.02072731190378252,0,0.6000000000000001,-0.2142857142857143,-1.0,NA1_4035099065
0,2,-0.15640640640640646,0.11077713662465505,0,0.19999999999999996,-1.0,-1.0,NA1_4035089661
0,2,-0.1111111111111111,-0.21447386857222922,0,-0.4,-0.13333333333333341,1.0,NA1_4035099247
0,-1,0.11769115442278866,-0.19222047384690927,0,0.3999999999999999,-0.08333333333333337,1.0,NA1_4035098711
0,2,0.08250000000000002,0.05030392156862745,1,-1.9999999999999996,0.026755852842809402,1.0,NA1_4035098938
0,-1,0.17125,-0.08991596638655464,0,0.20000000000000007,-0.41666666666666663,-1.0,NA1_4035089659
0,-1,,-0.03731343283582089,0,-2.6,0.25,1.0,NA1_4035089690
0,1,0.11809523809523809,-0.21485089367442306,1,0.6000000000000001,0.2571428571428572,1.0,NA1_4035099230
0,0,0.08490566037735847,-0.10302092677412311,0,0.40000000000000013,-0.015873015873015817,1.0,NA1_4035098977
0,0,0.012223503936211189,-0.15972898768103994,0,1.2000000000000002,0.04395604395604402,1.0,NA1_4035079668
0,1,0.5555555555555556,-0.2935606060606061,0,1.0,-0.29166666666666663,1.0,NA1_4035089579
0,-1,0.3142857142857143,-0.24937611408199645,-1,-1.4000000000000001,0.625,1.0,NA1_4035098968
0,0,-0.015889114266396165,-0.20783432941327673,0,0.19999999999999996,-0.261904761904762,-1.0,NA1_4035099182
0,1,-0.09056917324470293,-0.13593473193473204,0,0.8,0.06666666666666665,-1.0,NA1_4035098785
0,1,-0.07954545454545459,-0.2433870967741935,0,0.0,0.375,-1.0,NA1_4035098890
0,0,-0.101010101010101,-0.23358585858585854,0,-135.20000000000002,-0.014705882352941124,-1.0,NA1_4035079665
0,3,-0.16666666666666663,-0.043800627123072866,0,3.0,-0.4117647058823529,1.0,NA1_4035099000
0,2,-0.16084275436793427,-0.15297076314265,0,3.0,0.3333333333333333,-1.0,NA1_4035098884
0,2,-0.24609130706691673,-0.3866007422343005,0,-1.4000000000000001,-0.358974358974359,1.0,NA1_4035098999
0,0,-0.00189753320683117,0.0186493175341233,1,11.200000000000003,0.033333333333333326,1.0,NA1_4169229565
0,-1,0.0625,-0.3522388059701493,-1,-3.2,-0.4444444444444444,-1.0,NA1_4035099109
0,1,-0.14492753623188404,-0.21412121212121216,0,0.20000000000000007,0.5,1.0,NA1_4035099279
0,1,0.044261451363870274,-0.0644423317889743,-1,-0.19999999999999996,-0.0714285714285714,1.0,NA1_4035099035
0,1,-0.5384615384615384,-0.24984126984126975,0,0.6000000000000001,-0.16666666666666669,1.0,NA1_4035099203
0,0,,,0,,,1.0,NA1_4035099335
0,1,-0.10858585858585856,-0.3703096929441432,0,-0.8,0.2,1.0,NA1_4035098619
0,3,0.5882352941176471,-0.17866666666666675,1,1.4000000000000001,0.375,-1.0,NA1_4035089707
0,-1,-0.24285714285714288,-0.12725055882950626,-1,-0.6000000000000001,0.09999999999999998,-1.0,NA1_4035089582
0,1,-0.08250000000000002,-0.08331409331409334,-1,0.0,0.4615384615384615,-1.0,NA1_4035089726
0,-2,-0.1388888888888889,-0.32658447488584474,-1,0.0,0.11111111111111116,1.0,NA1_4035099246
0,3,0.008333333333333415,-0.07292194988299255,0,2.4000000000000004,0.2545454545454545,1.0,NA1_4035099064
